Time (min)	Temperature (C)	Weight (mg)
7.879166	37.237	10.57706
7.891666	37.26788	10.57696
7.908334	37.30826	10.57695
7.920832	37.3364	10.57692
7.933334	37.36567	10.57691
7.945832	37.3917	10.57688
7.958334	37.42452	10.57677
7.975	37.46282	10.57671
7.9875	37.49004	10.5767
8	37.51891	10.5767
8.0125	37.54764	10.57664
8.025	37.57951	10.57662
8.0375	37.61084	10.57661
8.05	37.63572	10.57664
8.066666	37.67305	10.5766
8.079166	37.70644	10.5766
8.091668	37.73138	10.57664
8.104168	37.76295	10.57668
8.116668	37.7906	10.57671
8.133332	37.82876	10.57682
8.145832	37.8593	10.57692
8.158332	37.88909	10.57694
8.170834	37.91678	10.57694
8.183334	37.94638	10.57695
8.2	37.9834	10.57692
8.2125	38.01816	10.5768
8.225	38.04182	10.57674
8.2375	38.06778	10.57667
8.25	38.10255	10.5766
8.2625	38.12885	10.57653
8.275	38.1606	10.57654
8.291668	38.19882	10.57661
8.304168	38.23128	10.57664
8.316666	38.25758	10.57675
8.329166	38.28424	10.57682
8.341668	38.31508	10.57686
8.358334	38.35586	10.5769
8.370834	38.38478	10.5769
8.383332	38.41264	10.57693
8.395832	38.44366	10.57687
8.408332	38.47245	10.57685
8.425	38.5112	10.57685
8.4375	38.53878	10.57684
8.45	38.56789	10.57678
8.4625	38.5969	10.57673
8.475	38.62353	10.57672
8.491668	38.66506	10.57676
8.504166	38.69483	10.57679
8.516666	38.72426	10.57679
8.529166	38.757	10.5768
8.541668	38.78244	10.57681
8.554168	38.81438	10.57684
8.566666	38.84072	10.57685
8.583332	38.88114	10.57686
8.595834	38.9091	10.57692
8.608334	38.93972	10.57698
8.620834	38.96628	10.57701
8.633332	38.99658	10.57699
8.65	39.0365	10.57697
8.6625	39.06273	10.57694
8.675	39.09531	10.57693
8.6875	39.12361	10.5769
8.7	39.15279	10.57692
8.716668	39.19067	10.57691
8.729168	39.22202	10.57692
8.741668	39.24999	10.57694
8.754166	39.28194	10.57695
8.766666	39.30893	10.57694
8.779166	39.33948	10.57688
8.791668	39.36735	10.5769
8.808334	39.40618	10.57692
8.820832	39.43597	10.57689
8.833332	39.46622	10.57689
8.845834	39.4913	10.57686
8.858334	39.5263	10.57681
8.875	39.5637	10.57674
8.8875	39.59658	10.57668
8.9	39.61929	10.57661
8.9125	39.64895	10.57654
8.925	39.68208	10.5765
8.941666	39.71755	10.57654
8.954166	39.7465	10.57662
8.966668	39.77446	10.57667
8.979168	39.8032	10.57673
8.991668	39.83236	10.5768
9.008332	39.87102	10.57687
9.020832	39.90058	10.57694
9.033332	39.93122	10.57692
9.045834	39.95731	10.57686
9.058334	39.98888	10.57683
9.070832	40.01747	10.57673
9.083332	40.04819	10.5767
9.1	40.0868	10.57665
9.1125	40.11838	10.57664
9.125	40.14606	10.57669
9.1375	40.17535	10.57672
9.15	40.20218	10.57678
9.166668	40.2465	10.57684
9.179168	40.2693	10.57684
9.191666	40.3021	10.5768
9.204166	40.3317	10.5768
9.216668	40.35996	10.5768
9.233334	40.39783	10.57678
9.245834	40.43187	10.57672
9.258332	40.45926	10.57674
9.270832	40.48286	10.5768
9.283332	40.5129	10.57678
9.295834	40.54426	10.57676
9.308334	40.57493	10.57681
9.325	40.61414	10.5769
9.3375	40.64628	10.57694
9.35	40.67183	10.57696
9.3625	40.70288	10.57696
9.375	40.72897	10.57692
9.391666	40.7705	10.57684
9.404166	40.79927	10.57678
9.416668	40.8272	10.57673
9.429168	40.85665	10.57673
9.441666	40.88682	10.57669
9.458332	40.92348	10.5767
9.470834	40.95408	10.57675
9.483334	40.98468	10.57682
9.495834	41.00942	10.57686
9.508332	41.04072	10.57686
9.525	41.08761	10.57691
9.5375	41.12646	10.57693
9.55	41.14167	10.57691
9.5625	41.16684	10.57685
9.575	41.19405	10.57683
9.5875	41.22154	10.5768
9.6	41.25639	10.57678
9.616668	41.29468	10.57675
9.629166	41.32243	10.57672
9.641666	41.35092	10.57674
9.654166	41.38016	10.57672
9.666668	41.41036	10.57673
9.683334	41.4564	10.57675
9.695832	41.49595	10.5767
9.708332	41.5248	10.57672
9.720834	41.55266	10.57671
9.733334	41.58096	10.57674
9.75	41.6198	10.57679
9.7625	41.65362	10.57677
9.775	41.67992	10.57683
9.7875	41.70729	10.57686
9.8	41.73555	10.57682
9.8125	41.75149	10.57692
9.825	41.7761	10.57688
