Time (min)	Temperature (C)	Weight (mg)
4.229166	64.63653	10.64285
4.2375	64.71789	10.64285
4.245834	64.81332	10.64285
4.254166	64.89571	10.64289
4.2625	64.97492	10.64292
4.270834	65.04972	10.64291
4.279167	65.12451	10.64292
4.2875	65.20678	10.64293
4.295833	65.2898	10.64293
4.304167	65.38354	10.64292
4.3125	65.46593	10.6429
4.320833	65.54522	10.64292
4.329167	65.62792	10.64294
4.3375	65.70644	10.64292
4.345833	65.7914	10.64292
4.354166	65.87134	10.64292
4.3625	65.95041	10.64289
4.370834	66.03278	10.64292
4.379166	66.11655	10.64294
4.3875	66.19447	10.64296
4.395834	66.27876	10.64297
4.404167	66.36121	10.64296
4.4125	66.43931	10.64294
4.420833	66.52196	10.64291
4.429167	66.60391	10.64286
4.4375	66.68564	10.64285
4.445833	66.7664	10.64286
4.454167	66.84824	10.64283
4.4625	66.9197	10.64284
4.470833	66.99998	10.64288
4.479166	67.08186	10.64289
4.4875	67.1609	10.64288
4.495834	67.24612	10.64291
4.504166	67.3289	10.64297
4.5125	67.40932	10.643
4.520834	67.49478	10.643
4.529167	67.5747	10.64301
4.5375	67.66015	10.64301
4.545833	67.73797	10.643
4.554167	67.823	10.64299
4.5625	67.90616	10.643
4.570833	67.98545	10.64301
4.579167	68.0705	10.64303
4.5875	68.15282	10.64304
4.595833	68.23426	10.64307
4.604166	68.317	10.6431
4.6125	68.39784	10.64307
4.620834	68.48212	10.64308
4.629166	68.56199	10.64308
4.6375	68.648	10.64308
4.645834	68.72566	10.6431
4.654167	68.81398	10.64311
4.6625	68.89351	10.64307
4.670833	68.9775	10.64306
4.679167	69.05953	10.64304
4.6875	69.14176	10.64301
4.695833	69.22621	10.643
4.704167	69.30834	10.64298
4.7125	69.3917	10.64295
4.720833	69.47256	10.64293
4.729166	69.5566	10.64292
4.7375	69.63866	10.64292
4.745834	69.7211	10.64296
4.754166	69.80356	10.64299
4.7625	69.88687	10.643
4.770834	69.97138	10.64302
4.779167	70.05079	10.64306
4.7875	70.13526	10.64311
4.795833	70.22199	10.64316
4.804167	70.30211	10.64317
4.8125	70.38722	10.6432
4.820833	70.47016	10.64322
4.829167	70.55236	10.64322
4.8375	70.63626	10.64322
4.845833	70.71544	10.64321
4.854166	70.80402	10.64321
4.8625	70.88276	10.64322
4.870834	70.96652	10.64322
4.879166	71.06194	10.64324
4.8875	71.1455	10.64325
4.895834	71.21653	10.64322
4.904167	71.30098	10.64316
4.9125	71.385	10.64313
4.920833	71.4653	10.64306
4.929167	71.55395	10.64304
4.9375	71.6355	10.64302
4.945833	71.72012	10.64297
4.954167	71.80204	10.64296
4.9625	71.87988	10.64291
4.970833	71.96742	10.64289
4.979166	72.04984	10.64289
4.9875	72.13056	10.64291
4.995834	72.21595	10.64293
5.004166	72.30022	10.64299
5.0125	72.3844	10.64302
5.020834	72.469	10.64306
5.029167	72.54972	10.6431
5.0375	72.63647	10.64312
5.045833	72.71856	10.64316
5.054167	72.80326	10.64319
5.0625	72.88657	10.6432
5.070833	72.97376	10.64323
5.079167	73.05736	10.64325
