Time (min)	Temperature (C)	Weight (mg)
6.220832	48.95715	11.01213
6.229166	48.99988	11.0121
6.2375	49.03766	11.01209
6.245834	49.08269	11.01207
6.254166	49.12422	11.01202
6.2625	49.16612	11.01201
6.270834	49.209	11.01201
6.279168	49.25056	11.01203
6.2875	49.29234	11.01199
6.295832	49.33778	11.01203
6.304168	49.38085	11.0121
6.3125	49.42994	11.01212
6.320832	49.46618	11.01216
6.329168	49.50734	11.01217
6.3375	49.5519	11.01215
6.345832	49.59434	11.01212
6.354166	49.63396	11.0121
6.3625	49.67834	11.01206
6.370834	49.72034	11.01204
6.379166	49.76168	11.01199
6.3875	49.80438	11.01194
6.395834	49.8515	11.01191
6.404166	49.88788	11.0119
6.4125	49.93204	11.01192
6.420832	49.97424	11.01196
6.429168	50.01578	11.01199
6.4375	50.05818	11.01198
6.445832	50.10122	11.01198
6.454168	50.14581	11.01198
6.4625	50.18743	11.01198
6.470834	50.22638	11.01199
6.479166	50.27178	11.01199
6.4875	50.31158	11.01198
6.495834	50.35947	11.01199
6.504166	50.39692	11.01199
6.5125	50.43863	11.01201
6.520834	50.48184	11.01205
6.529166	50.52712	11.01208
6.5375	50.56716	11.01213
6.545832	50.6105	11.01215
6.554168	50.649	11.01215
6.5625	50.69447	11.01218
6.570832	50.73728	11.0122
6.579168	50.7808	11.0122
6.5875	50.82268	11.01222
6.595834	50.86474	11.01221
6.604166	50.90656	11.01223
6.6125	50.95075	11.01221
6.620834	50.98977	11.01214
6.629166	51.03018	11.0121
6.6375	51.0769	11.01212
6.645834	51.11806	11.0121
6.654166	51.16336	11.01206
6.6625	51.2042	11.01203
6.670832	51.25016	11.01199
6.679168	51.29007	11.01195
6.6875	51.32739	11.0119
6.695832	51.37616	11.0119
6.704168	51.41786	11.01193
6.7125	51.45744	11.01199
6.720834	51.49988	11.012
6.729166	51.54024	11.01203
6.7375	51.58159	11.01206
6.745834	51.62674	11.01207
6.754166	51.67011	11.01211
6.7625	51.7076	11.01213
6.770834	51.74876	11.01215
6.779166	51.79597	11.01217
6.7875	51.83629	11.0122
6.795832	51.87722	11.01221
6.804168	51.92031	11.01221
6.8125	51.9645	11.01221
6.820832	52.00449	11.01219
6.829168	52.05016	11.01219
6.8375	52.08929	11.01219
6.845834	52.1303	11.0122
6.854166	52.17266	11.0122
6.8625	52.21324	11.01218
6.870834	52.25787	11.01214
