"Time (min)"	"Temperature (°C)"	"Weight (mg)"
3.395833	52.51546	20.23932
3.404167	52.59436	20.23911
3.412500	52.67157	20.23890
3.420833	52.75592	20.23868
3.429166	52.83664	20.23847
3.437500	52.91280	20.23824
3.445834	52.99510	20.23802
3.454167	53.07768	20.23783
3.462500	53.15863	20.23762
3.470833	53.23578	20.23740
3.479167	53.32074	20.23717
3.487500	53.39626	20.23691
3.495834	53.47976	20.23667
3.504166	53.55938	20.23646
3.512500	53.63854	20.23625
3.520833	53.72022	20.23604
3.529167	53.80154	20.23580
3.537500	53.88099	20.23553
3.545833	53.96430	20.23526
3.554166	54.04234	20.23502
3.562500	54.12269	20.23479
3.570834	54.19938	20.23455
3.579167	54.28448	20.23428
3.587500	54.36132	20.23397
3.595833	54.44070	20.23366
3.604167	54.52449	20.23338
3.612500	54.59959	20.23310
3.620834	54.68209	20.23283
3.629166	54.76496	20.23256
3.637500	54.84119	20.23228
3.645833	54.92235	20.23202
3.654167	55.00465	20.23178
3.662500	55.08120	20.23156
3.670833	55.16147	20.23136
3.679166	55.24502	20.23115
3.687500	55.32302	20.23096
3.695834	55.40106	20.23079
3.704167	55.48187	20.23062
3.712500	55.56294	20.23045
3.720833	55.63989	20.23027
3.729167	55.72268	20.23006
3.737500	55.80504	20.22983
3.745834	55.88153	20.22960
3.754166	55.96465	20.22937
3.762500	56.04214	20.22914
3.770833	56.12474	20.22888
3.779167	56.19932	20.22862
3.787500	56.27883	20.22837
3.795833	56.36048	20.22813
3.804166	56.44074	20.22788
3.812500	56.52096	20.22764
3.820834	56.60000	20.22740
3.829167	56.68110	20.22717
3.837500	56.76314	20.22692
3.845833	56.84243	20.22667
3.854167	56.91905	20.22645
3.862500	57.00179	20.22618
3.870834	57.07938	20.22591
3.879166	57.16009	20.22564
3.887500	57.24199	20.22539
3.895833	57.32060	20.22514
3.904167	57.40366	20.22487
3.912500	57.48295	20.22459
3.920833	57.56418	20.22431
3.929166	57.64288	20.22401
3.937500	57.72219	20.22368
3.945834	57.80157	20.22339
3.954167	57.88052	20.22309
3.962500	57.96428	20.22276
3.970833	58.03830	20.22246
3.979167	58.12125	20.22217
3.987500	58.19985	20.22188
3.995834	58.27930	20.22162
4.004166	58.35916	20.22136
4.012500	58.43844	20.22109
4.020834	58.52005	20.22085
4.029167	58.59970	20.22061
4.037500	58.67857	20.22039
4.045833	58.75926	20.22021
4.054167	58.83813	20.21997
4.062500	58.91950	20.21972
4.070833	58.99930	20.21948
4.079167	59.07842	20.21922
4.087500	59.16188	20.21894
4.095833	59.23762	20.21862
4.104166	59.32018	20.21835
4.112500	59.40188	20.21807
4.120834	59.48066	20.21774
4.129166	59.55948	20.21736
4.137500	59.64212	20.21701
4.145834	59.72330	20.21668
4.154167	59.80005	20.21635
4.162500	59.87856	20.21603
4.170833	59.96226	20.21576
4.179167	60.04406	20.21554
4.187500	60.12305	20.21527
4.195833	60.20464	20.21498
4.204167	60.28579	20.21470
4.212500	60.36286	20.21445
4.220833	60.44300	20.21422
4.229166	60.52256	20.21399
4.237500	60.60525	20.21377
4.245834	60.68476	20.21352
4.254166	60.76618	20.21324
4.262500	60.84797	20.21294
4.270834	60.92854	20.21264
4.279167	61.00810	20.21239
4.287500	61.08730	20.21216
4.295833	61.16926	20.21190
4.304167	61.24976	20.21164
4.312500	61.33100	20.21137
4.320833	61.41094	20.21107
4.329167	61.49170	20.21079
4.337500	61.57304	20.21051
4.345833	61.65716	20.21025
4.354166	61.73781	20.20997
4.362500	61.81634	20.20967
4.370834	61.89953	20.20939
4.379166	61.97824	20.20911
4.387500	62.05776	20.20878
4.395834	62.13805	20.20847
4.404167	62.22081	20.20815
4.412500	62.30206	20.20779
4.420833	62.38558	20.20744
4.429167	62.46516	20.20706
4.437500	62.54596	20.20667
4.445833	62.62518	20.20633
4.454167	62.71150	20.20598
4.462500	62.78836	20.20564
4.470833	62.87016	20.20530
4.479166	62.94993	20.20494
4.487500	63.03129	20.20458
4.495834	63.11662	20.20428
4.504166	63.19524	20.20396
4.512500	63.27750	20.20366
4.520834	63.35575	20.20339
4.529167	63.43687	20.20308
4.537500	63.51611	20.20277
4.545833	63.59920	20.20248
4.554167	63.68162	20.20222
4.562500	63.76153	20.20195
4.570833	63.84259	20.20168
4.579167	63.92537	20.20139
4.587500	64.00628	20.20112
4.595833	64.08657	20.20085
4.604166	64.17224	20.20059
4.612500	64.25451	20.20032
4.620834	64.33332	20.20002
4.629166	64.41352	20.19969
4.637500	64.49665	20.19935
4.645834	64.57441	20.19902
4.654167	64.65578	20.19870
4.662500	64.73963	20.19839
4.670833	64.82039	20.19805
4.679167	64.90194	20.19773
4.687500	64.98258	20.19739
4.695833	65.06610	20.19702
4.704167	65.14541	20.19665
4.712500	65.23064	20.19627
4.720833	65.31182	20.19587
4.729166	65.39472	20.19549
4.737500	65.47622	20.19511
4.745834	65.55751	20.19470
4.754166	65.63652	20.19432
4.762500	65.71999	20.19396
4.770834	65.79998	20.19359
4.779167	65.88235	20.19322
4.787500	65.96184	20.19288
4.795833	66.04462	20.19256
4.804167	66.12446	20.19228
4.812500	66.20829	20.19198
4.820833	66.28942	20.19167
4.829167	66.37179	20.19136
4.837500	66.45686	20.19103
4.845833	66.53734	20.19068
4.854166	66.62182	20.19037
4.862500	66.70184	20.19007
4.870834	66.78662	20.18972
4.879166	66.86662	20.18937
4.887500	66.94811	20.18904
4.895834	67.03019	20.18870
4.904167	67.11443	20.18837
4.912500	67.19432	20.18805
4.920833	67.27588	20.18774
4.929167	67.35958	20.18742
4.937500	67.44507	20.18709
4.945833	67.52362	20.18676
4.954167	67.60686	20.18644
4.962500	67.68889	20.18609
4.970833	67.77216	20.18570
4.979166	67.85414	20.18530
4.987500	67.93442	20.18489
4.995834	68.01776	20.18447
5.004166	68.10018	20.18405
5.012500	68.18526	20.18362
5.020834	68.26604	20.18317
5.029167	68.35006	20.18274
5.037500	68.42803	20.18232
5.045833	68.51366	20.18190
5.054167	68.59762	20.18150
5.062500	68.67755	20.18115
5.070833	68.76335	20.18083
5.079167	68.84613	20.18050
5.087500	68.92398	20.18014
5.095833	69.00831	20.17980
5.104166	69.09403	20.17949
5.112500	69.17975	20.17915
5.120834	69.25751	20.17882
5.129166	69.34016	20.17851
5.137500	69.42590	20.17819
5.145834	69.50679	20.17784
5.154167	69.58859	20.17746
5.162500	69.67226	20.17709
5.170833	69.75693	20.17674
5.179167	69.83811	20.17639
5.187500	69.92082	20.17601
5.195833	70.00278	20.17560
5.204167	70.08412	20.17520
5.212500	70.16988	20.17480
5.220833	70.25266	20.17438
5.229166	70.33368	20.17397
5.237500	70.41572	20.17356
5.245834	70.50056	20.17314
5.254166	70.57666	20.17273
5.262500	70.66394	20.17231
5.270834	70.75105	20.17189
5.279168	70.83364	20.17151
5.287500	70.91430	20.17112
5.295832	70.99756	20.17074
5.304168	71.08226	20.17038
5.312500	71.16359	20.17003
5.320832	71.24702	20.16966
5.329168	71.33099	20.16929
5.337500	71.41478	20.16892
5.345832	71.49490	20.16854
5.354166	71.58007	20.16818
5.362500	71.66210	20.16783
5.370834	71.74188	20.16746
5.379166	71.82840	20.16706
5.387500	71.91340	20.16668
5.395834	71.99624	20.16628
5.404168	72.08000	20.16588
5.412500	72.15994	20.16549
5.420832	72.24507	20.16510
5.429168	72.32776	20.16470
5.437500	72.41039	20.16428
5.445832	72.49410	20.16382
5.454168	72.57538	20.16338
5.462500	72.65925	20.16299
5.470832	72.74020	20.16258
5.479166	72.82634	20.16215
5.487500	72.90594	20.16171
5.495834	72.98870	20.16127
5.504166	73.07340	20.16084
5.512500	73.15938	20.16044
5.520834	73.24308	20.16002
5.529168	73.32424	20.15961
5.537500	73.40925	20.15920
5.545832	73.49475	20.15875
5.554168	73.57574	20.15831
5.562500	73.66032	20.15789
5.570832	73.74275	20.15748
5.579168	73.82906	20.15706
5.587500	73.91102	20.15667
5.595832	73.99272	20.15627
5.604166	74.07747	20.15589
5.612500	74.16303	20.15552
5.620834	74.24372	20.15511
5.629166	74.32509	20.15467
5.637500	74.40658	20.15422
5.645834	74.49578	20.15378
5.654168	74.57820	20.15338
5.662500	74.65748	20.15298
5.670832	74.74475	20.15254
5.679168	74.83018	20.15209
5.687500	74.91384	20.15165
5.695832	74.99518	20.15121
5.704168	75.08074	20.15080
5.712500	75.16108	20.15038
5.720832	75.24421	20.14996
5.729166	75.32960	20.14953
5.737500	75.41474	20.14907
5.745834	75.49450	20.14863
5.754166	75.57890	20.14821
5.762500	75.66188	20.14776
5.770834	75.74739	20.14727
5.779168	75.82912	20.14677
5.787500	75.91430	20.14626
5.795832	75.99576	20.14572
5.804168	76.07871	20.14517
5.812500	76.16418	20.14464
5.820832	76.24772	20.14413
5.829168	76.33076	20.14368
5.837500	76.41434	20.14321
5.845832	76.49839	20.14271
5.854166	76.58048	20.14225
5.862500	76.66382	20.14178
5.870834	76.74900	20.14133
5.879166	76.83280	20.14092
5.887500	76.91456	20.14057
5.895834	76.99807	20.14020
5.904168	77.08570	20.13981
5.912500	77.16770	20.13937
5.920832	77.24928	20.13893
5.929168	77.33028	20.13848
5.937500	77.41868	20.13806
5.945832	77.50284	20.13763
5.954168	77.58257	20.13721
5.962500	77.66743	20.13681
5.970832	77.75462	20.13635
5.979166	77.83539	20.13588
5.987500	77.91942	20.13540
5.995834	78.00416	20.13491
6.004166	78.08790	20.13440
6.012500	78.16782	20.13395
6.020834	78.25299	20.13351
6.029168	78.33702	20.13303
6.037500	78.42066	20.13256
6.045832	78.50451	20.13206
6.054168	78.58745	20.13158
6.062500	78.67229	20.13111
6.070832	78.75874	20.13066
6.079168	78.83686	20.13023
6.087500	78.92413	20.12980
6.095832	79.00790	20.12934
6.104166	79.09148	20.12885
6.112500	79.17744	20.12840
6.120834	79.25772	20.12796
6.129166	79.34179	20.12752
6.137500	79.42480	20.12705
6.145834	79.51184	20.12656
6.154168	79.59400	20.12607
6.162500	79.67694	20.12558
6.170832	79.75952	20.12508
6.179168	79.84424	20.12460
6.187500	79.92739	20.12414
6.195832	80.01342	20.12365
6.204168	80.09394	20.12313
6.212500	80.17886	20.12260
6.220832	80.26553	20.12213
6.229166	80.34438	20.12167
6.237500	80.43101	20.12120
6.245834	80.51287	20.12070
6.254166	80.59747	20.12022
6.262500	80.68124	20.11972
6.270834	80.76388	20.11922
6.279168	80.85266	20.11876
6.287500	80.93272	20.11829
6.295832	81.01750	20.11779
6.304168	81.10165	20.11727
6.312500	81.18587	20.11676
6.320832	81.27128	20.11625
6.329168	81.35024	20.11576
6.337500	81.43476	20.11525
6.345832	81.52124	20.11476
6.354166	81.60202	20.11426
6.362500	81.68936	20.11373
6.370834	81.77063	20.11323
6.379166	81.85313	20.11278
6.387500	81.93860	20.11232
6.395834	82.02208	20.11181
6.404166	82.10401	20.11132
6.412500	82.19005	20.11082
6.420832	82.27554	20.11033
6.429168	82.35608	20.10982
6.437500	82.43836	20.10931
6.445832	82.52401	20.10880
6.454168	82.60561	20.10828
6.462500	82.69116	20.10775
6.470834	82.77745	20.10723
6.479166	82.85902	20.10672
6.487500	82.94242	20.10624
6.495834	83.02524	20.10572
6.504166	83.10848	20.10518
6.512500	83.19340	20.10467
6.520834	83.27625	20.10417
6.529166	83.36070	20.10365
6.537500	83.44430	20.10312
6.545832	83.52845	20.10259
6.554168	83.61408	20.10208
6.562500	83.69843	20.10159
6.570832	83.77920	20.10104
6.579168	83.86164	20.10052
6.587500	83.94982	20.10002
6.595834	84.03319	20.09948
6.604166	84.11382	20.09896
6.612500	84.19921	20.09849
6.620834	84.28432	20.09801
6.629166	84.36799	20.09750
6.637500	84.44851	20.09695
6.645834	84.53454	20.09638
6.654166	84.61818	20.09586
6.662500	84.70465	20.09535
6.670832	84.78539	20.09481
6.679168	84.86892	20.09427
6.687500	84.95469	20.09368
6.695832	85.03681	20.09305
6.704168	85.12126	20.09249
6.712500	85.20362	20.09198
6.720834	85.28872	20.09148
6.729166	85.37194	20.09093
6.737500	85.45608	20.09039
6.745834	85.53859	20.08985
6.754166	85.62444	20.08932
6.762500	85.70476	20.08880
6.770834	85.78930	20.08831
6.779166	85.87507	20.08780
6.787500	85.95999	20.08724
6.795832	86.04084	20.08668
6.804168	86.12295	20.08615
6.812500	86.21015	20.08566
6.820832	86.29285	20.08511
6.829168	86.37762	20.08458
6.837500	86.45997	20.08405
6.845834	86.54408	20.08351
6.854166	86.62587	20.08298
6.862500	86.70791	20.08246
6.870834	86.79368	20.08195
6.879166	86.87616	20.08142
6.887500	86.96226	20.08086
6.895834	87.04657	20.08030
6.904166	87.12597	20.07974
6.912500	87.21356	20.07920
6.920832	87.29369	20.07868
6.929168	87.37900	20.07816
6.937500	87.46412	20.07764
6.945832	87.54461	20.07710
6.954168	87.62901	20.07655
6.962500	87.71421	20.07603
6.970834	87.79812	20.07550
6.979166	87.88244	20.07499
6.987500	87.96356	20.07448
6.995834	88.04989	20.07392
7.004166	88.13188	20.07335
7.012500	88.21668	20.07281
7.020834	88.30093	20.07224
7.029166	88.38361	20.07169
7.037500	88.46832	20.07113
7.045832	88.55188	20.07055
7.054168	88.63888	20.06997
7.062500	88.71954	20.06940
7.070832	88.79999	20.06885
7.079168	88.88441	20.06832
7.087500	88.97000	20.06778
7.095834	89.05512	20.06722
7.104166	89.13556	20.06668
7.112500	89.21999	20.06613
7.120834	89.30406	20.06559
7.129166	89.38711	20.06503
7.137500	89.47381	20.06448
7.145834	89.55712	20.06391
7.154166	89.64053	20.06333
7.162500	89.72218	20.06273
7.170832	89.80381	20.06216
7.179168	89.89341	20.06160
7.187500	89.97665	20.06104
7.195832	90.06141	20.06047
7.204168	90.14189	20.05990
7.212500	90.22525	20.05933
7.220834	90.31129	20.05877
7.229166	90.39289	20.05822
7.237500	90.47545	20.05766
7.245834	90.56324	20.05709
7.254166	90.64299	20.05652
7.262500	90.72711	20.05596
7.270834	90.80961	20.05539
7.279166	90.89265	20.05482
7.287500	90.97405	20.05424
7.295832	91.05803	20.05369
7.304168	91.14449	20.05315
7.312500	91.23026	20.05256
7.320832	91.31012	20.05200
7.329168	91.39289	20.05146
7.337500	91.47891	20.05090
7.345834	91.56014	20.05032
7.354166	91.64699	20.04974
7.362500	91.72947	20.04915
7.370834	91.81562	20.04858
7.379166	91.89696	20.04801
7.387500	91.98113	20.04741
7.395834	92.06453	20.04681
7.404166	92.14629	20.04620
7.412500	92.23266	20.04561
7.420832	92.31418	20.04504
7.429168	92.39670	20.04446
7.437500	92.47969	20.04389
7.445832	92.56236	20.04335
7.454168	92.65012	20.04277
7.462500	92.73163	20.04218
7.470834	92.81319	20.04162
