"Time (min)"	"Temperature (°C)"	"Weight (mg)"
4.512500	105.4132	20.45633
4.520834	105.5807	20.45532
4.529167	105.7436	20.45427
4.537500	105.9080	20.45325
4.545833	106.0708	20.45228
4.554167	106.2365	20.45137
4.562500	106.4008	20.45042
4.570833	106.5643	20.44939
4.579167	106.7297	20.44838
4.587500	106.8939	20.44741
4.595833	107.0576	20.44644
4.604166	107.2236	20.44547
4.612500	107.3848	20.44454
4.620834	107.5506	20.44361
4.629166	107.7192	20.44257
4.637500	107.8810	20.44150
4.645834	108.0625	20.44051
4.654167	108.2151	20.43964
4.662500	108.3746	20.43868
4.670833	108.5407	20.43767
4.679167	108.7097	20.43668
4.687500	108.8804	20.43574
4.695833	109.0356	20.43476
4.704167	109.2020	20.43368
4.712500	109.3669	20.43263
4.720833	109.5316	20.43164
4.729166	109.6940	20.43066
4.737500	109.8641	20.42966
4.745834	110.0260	20.42872
4.754166	110.1910	20.42775
4.762500	110.3571	20.42674
4.770834	110.5223	20.42570
4.779167	110.6920	20.42471
4.787500	110.8532	20.42379
4.795833	111.0178	20.42284
4.804167	111.1851	20.42179
4.812500	111.3529	20.42074
4.820833	111.5194	20.41973
4.829167	111.6840	20.41871
4.837500	111.8476	20.41772
4.845833	112.0146	20.41678
4.854166	112.1804	20.41583
4.862500	112.3459	20.41484
4.870834	112.5135	20.41384
4.879166	112.6796	20.41287
4.887500	112.8437	20.41194
4.895834	113.0084	20.41101
4.904167	113.1754	20.41004
4.912500	113.3447	20.40902
4.920833	113.5117	20.40799
4.929167	113.6729	20.40688
4.937500	113.8424	20.40571
4.945833	114.0112	20.40458
4.954167	114.1776	20.40353
4.962500	114.3422	20.40257
4.970833	114.5066	20.40160
4.979166	114.6734	20.40058
4.987500	114.8413	20.39947
4.995834	115.0078	20.39833
5.004166	115.1729	20.39724
5.012500	115.3404	20.39624
5.020834	115.5081	20.39530
5.029167	115.6695	20.39440
5.037500	115.8375	20.39340
5.045833	116.0020	20.39232
5.054167	116.1710	20.39121
5.062500	116.3372	20.39006
5.070833	116.5164	20.38898
5.079167	116.6841	20.38798
5.087500	116.8508	20.38700
5.095833	117.0107	20.38601
5.104166	117.1754	20.38501
5.112500	117.3386	20.38399
5.120834	117.5090	20.38299
5.129166	117.6730	20.38201
5.137500	117.8411	20.38104
5.145834	118.0086	20.38011
5.154167	118.1752	20.37916
5.162500	118.3401	20.37821
5.170833	118.5048	20.37720
5.179167	118.6724	20.37612
5.187500	118.8405	20.37501
5.195833	119.0098	20.37391
5.204167	119.1754	20.37290
5.212500	119.3419	20.37195
5.220833	119.5087	20.37097
5.229166	119.6750	20.36998
5.237500	119.8416	20.36897
5.245834	120.0079	20.36793
5.254166	120.1752	20.36692
5.262500	120.3405	20.36596
5.270834	120.5084	20.36508
5.279168	120.6772	20.36418
5.287500	120.8446	20.36317
5.295832	121.0120	20.36211
5.304168	121.1790	20.36105
5.312500	121.3456	20.36003
5.320832	121.5132	20.35904
5.329168	121.6829	20.35801
5.337500	121.8473	20.35695
5.345832	122.0170	20.35593
5.354166	122.1828	20.35483
5.362500	122.3512	20.35364
5.370834	122.5231	20.35249
5.379166	122.6954	20.35142
5.387500	122.8668	20.35039
5.395834	123.0290	20.34935
5.404168	123.1886	20.34833
5.412500	123.3563	20.34730
5.420832	123.5217	20.34628
5.429168	123.6885	20.34525
5.437500	123.8586	20.34423
5.445832	124.0239	20.34329
5.454168	124.1906	20.34235
5.462500	124.3576	20.34133
5.470832	124.5258	20.34032
5.479166	124.6913	20.33930
5.487500	124.8600	20.33823
5.495834	125.0284	20.33720
5.504166	125.1957	20.33618
5.512500	125.3651	20.33512
5.520834	125.5275	20.33410
5.529168	125.6960	20.33308
5.537500	125.8742	20.33204
5.545832	126.0371	20.33100
5.554168	126.2021	20.32994
5.562500	126.3712	20.32892
5.570832	126.5392	20.32791
